,City,Time,Country,Latitude,Longitude,Temperature,Humidity,Cloud Coverage,Wind Speed
372,Ponta do Sol,1516394013,BR,-20.63,-46.0,88.23,27,12,4.79
373,Mataura,1516393984,NZ,-46.19,168.86,73.96,54,56,17.65
374,Punta Arenas,1516392000,CL,-53.16,-70.91,64.4,59,40,32.21
375,Ilulissat,1516391400,GL,69.22,-51.1,17.6,48,20,20.8
376,Vermillion,1516392900,US,42.78,-96.93,59.0,66,1,11.41
377,Walvis Bay,1516392000,NA,-22.95,14.51,62.6,82,56,8.05
378,Busselton,1516394037,AU,-33.64,115.35,66.94,100,0,18.7
379,Hokitika,1516394097,NZ,-42.72,170.96,65.91,98,56,3.89
380,Kandi,1516394203,BJ,11.13,2.93,66.0,44,0,5.61
381,Hobart,1516392000,AU,-42.88,147.33,59.0,87,75,3.36
382,Hovd,1516393200,NO,63.83,10.7,28.4,72,0,8.05
383,Yellowknife,1516392000,CA,62.45,-114.38,8.6,84,90,6.93
384,Mataura,1516393984,NZ,-46.19,168.86,73.96,54,56,17.65
385,Bakhmach,1516394206,UA,51.18,32.81,31.8,95,44,13.67
386,Betlitsa,1516394207,RU,54.01,33.96,21.4,85,88,17.13
387,Uruzgan,1516394207,AF,32.93,66.63,12.9,53,0,3.6
388,Norman Wells,1516392000,CA,65.28,-126.83,14.0,85,75,4.38
389,Fortuna,1516393800,ES,38.18,-1.13,50.0,87,0,2.24
390,Ushuaia,1516392000,AR,-54.81,-68.31,66.2,62,40,32.21
391,Atuona,1516393989,PF,-9.8,-139.03,79.72,100,64,16.69
392,Kaitangata,1516394073,NZ,-46.28,169.85,72.75,59,68,18.32
393,Rikitea,1516393987,PF,-23.12,-134.97,79.05,100,68,9.15
394,Port Elizabeth,1516391760,US,39.31,-74.98,48.2,36,1,14.99
395,Mataura,1516393984,NZ,-46.19,168.86,73.96,54,56,17.65
396,Ilulissat,1516391400,GL,69.22,-51.1,17.6,48,20,20.8
397,Noblesville,1516392900,US,40.05,-86.01,39.2,55,1,14.99
398,Hobart,1516392000,AU,-42.88,147.33,59.0,87,75,3.36
399,Clyde River,1516392000,CA,70.47,-68.59,-20.21,75,5,13.87
400,Codrington,1516394011,AU,-28.95,153.24,63.61,87,0,5.23
401,Hami,1516394062,CN,42.84,93.51,2.05,55,8,3.11
402,Thompson,1516392000,CA,55.74,-97.86,1.4,77,75,10.29
403,Qixingtai,1516394215,CN,30.41,111.89,32.16,82,0,2.77
404,Port Elizabeth,1516391760,US,39.31,-74.98,48.2,36,1,14.99
405,Busselton,1516394037,AU,-33.64,115.35,66.94,100,0,18.7
406,East London,1516394131,ZA,-33.02,27.91,74.59,99,24,7.92
407,Khatanga,1516394002,RU,71.98,102.47,-27.7,45,64,15.41
408,Rikitea,1516393987,PF,-23.12,-134.97,79.05,100,68,9.15
409,Hilo,1516391820,US,19.71,-155.08,73.4,88,90,5.82
410,Busselton,1516394037,AU,-33.64,115.35,66.94,100,0,18.7
411,Busselton,1516394037,AU,-33.64,115.35,66.94,100,0,18.7
412,Palmer,1516392000,AU,-34.85,139.16,73.4,60,0,11.41
413,Nuuk,1516391400,GL,64.17,-51.74,23.0,57,75,16.11
414,Dhidhdhoo,1516394221,MV,6.88,73.1,79.68,100,32,3.0
415,Deming,1516392900,US,32.27,-107.76,62.6,21,1,12.75
416,Lorengau,1516394222,PG,-2.02,147.27,82.33,100,20,5.5
417,Barranca,1516394223,PE,-10.75,-77.76,69.01,97,20,3.56
418,Maniitsoq,1516394224,GL,65.42,-52.9,7.5,100,12,8.86
419,Rikitea,1516393987,PF,-23.12,-134.97,79.05,100,68,9.15
420,Aviles,1516394225,ES,43.55,-5.92,54.34,100,68,18.88
421,Jalu,1516394226,LY,29.03,21.55,42.37,75,20,4.9
422,Ushuaia,1516392000,AR,-54.81,-68.31,66.2,62,40,32.21
423,Hamilton,1516391700,BM,32.3,-64.78,64.4,59,75,17.22
424,San Quintin,1516394130,PH,17.54,120.52,62.17,73,0,3.6
425,Grindavik,1516392000,IS,63.84,-22.43,26.6,79,0,8.05
426,Thompson,1516392000,CA,55.74,-97.86,1.4,77,75,10.29
427,Hithadhoo,1516394141,MV,-0.6,73.08,82.65,100,44,7.81
428,Sao Filipe,1516394016,CV,14.9,-24.5,71.62,94,0,18.14
429,Castro,1516393889,CL,-42.48,-73.76,68.56,77,64,7.07
430,Tyrma,1516394230,RU,50.04,132.17,-10.51,68,64,1.59
431,Cayenne,1516392000,GF,4.94,-52.33,84.2,70,75,12.75
432,Hermanus,1516393975,ZA,-34.42,19.24,65.5,94,88,10.16
433,New Norfolk,1516392000,AU,-42.78,147.06,59.0,87,75,3.36
434,Bonthe,1516394233,SL,7.53,-12.5,81.48,74,0,6.24
435,Mahebourg,1516392000,MU,-20.41,57.7,78.8,83,20,5.57
436,Sept-Iles,1516392000,CA,50.2,-66.38,5.0,54,40,3.36
437,Puerto Ayora,1516392000,EC,-0.74,-90.35,84.2,54,20,20.8
438,Lakhdenpokhya,1516394235,RU,61.52,30.2,21.4,91,88,9.42
439,Storslett,1516394235,NO,69.77,21.03,1.42,100,24,3.04
440,Kaitangata,1516394073,NZ,-46.28,169.85,72.75,59,68,18.32
441,Deputatskiy,1516394239,RU,69.3,139.9,-23.83,66,48,8.25
442,Cape Town,1516392000,ZA,-33.93,18.42,73.4,69,0,18.34
443,Lata,1516394241,IN,30.78,78.62,29.55,32,0,3.22
444,Domna,1516392000,RU,51.9,113.16,-25.61,60,0,2.24
445,Te Anau,1516394084,NZ,-45.41,167.72,66.31,68,8,12.17
446,Itoman,1516392000,JP,26.12,127.67,62.6,88,75,5.82
447,Ushuaia,1516392000,AR,-54.81,-68.31,66.2,62,40,32.21
448,Puerto Ayora,1516392000,EC,-0.74,-90.35,84.2,54,20,20.8
449,Batticaloa,1516394245,LK,7.71,81.69,74.41,100,64,6.35
450,Vestmannaeyjar,1516394246,IS,63.44,-20.27,25.27,100,0,13.06
451,Pangnirtung,1516392000,CA,66.15,-65.72,1.4,54,20,11.1
452,Qaanaaq,1516393980,GL,77.48,-69.36,-8.3,94,0,6.13
453,Hobart,1516392000,AU,-42.88,147.33,59.0,87,75,3.36
454,Cherskiy,1516393993,RU,68.75,161.3,-29.99,50,0,4.38
455,Laguna,1516390980,MX,27.52,-110.01,80.6,22,5,6.93
456,Tagusao,1516394249,PH,9.19,117.81,76.57,99,20,3.83
457,Bethel,1516391580,US,60.79,-161.76,3.2,71,20,21.92
458,Ciudad Real,1516394250,ES,38.99,-3.93,34.05,79,0,2.71
459,Bredasdorp,1516392000,ZA,-34.53,20.04,71.6,78,92,18.34
460,Buala,1516394251,SB,-8.15,159.59,83.95,87,44,4.27
461,Tuktoyaktuk,1516392000,CA,69.44,-133.03,19.4,92,90,14.99
462,Kalmunai,1516394252,LK,7.42,81.82,69.46,95,36,5.39
463,Noumea,1516392000,NC,-22.28,166.46,71.6,100,0,2.24
464,Yellowknife,1516392000,CA,62.45,-114.38,8.6,84,90,6.93
465,Ushuaia,1516392000,AR,-54.81,-68.31,66.2,62,40,32.21
466,Contai,1516394255,IN,21.78,87.75,62.4,100,0,5.5
467,East London,1516394131,ZA,-33.02,27.91,74.59,99,24,7.92
468,Ushuaia,1516392000,AR,-54.81,-68.31,66.2,62,40,32.21
469,Georgetown,1516392000,GY,6.8,-58.16,86.0,58,20,16.11
470,Carutapera,1516394257,BR,-1.2,-46.02,80.13,86,68,8.41
471,Anadyr,1516392000,RU,64.73,177.51,-23.81,67,0,6.71
472,Castro,1516393889,CL,-42.48,-73.76,68.56,77,64,7.07
473,Ushuaia,1516392000,AR,-54.81,-68.31,66.2,62,40,32.21
474,Hamilton,1516391700,BM,32.3,-64.78,64.4,59,75,17.22
475,Rikitea,1516393987,PF,-23.12,-134.97,79.05,100,68,9.15
476,Tasiilaq,1516391400,GL,65.61,-37.64,28.4,58,75,12.75
477,Rutana,1516394261,BI,-3.93,29.99,60.64,97,92,3.0
478,Manado,1516393800,ID,1.49,124.85,75.2,94,20,1.12
479,Punta Arenas,1516392000,CL,-53.16,-70.91,64.4,59,40,32.21
480,Mar del Plata,1516393925,AR,-46.43,-67.52,91.06,29,0,13.29
481,New Norfolk,1516392000,AU,-42.78,147.06,59.0,87,75,3.36
482,Saint Anthony,1516392720,US,43.97,-111.68,35.6,93,90,17.22
483,Rikitea,1516393987,PF,-23.12,-134.97,79.05,100,68,9.15
484,Rikitea,1516393987,PF,-23.12,-134.97,79.05,100,68,9.15
485,Qaanaaq,1516393980,GL,77.48,-69.36,-8.3,94,0,6.13
486,Butaritari,1516394066,KI,3.07,172.79,83.73,97,80,20.94
487,Clyde River,1516392000,CA,70.47,-68.59,-20.21,75,5,13.87
488,Kalaisan,1516392000,PH,7.01,125.04,77.0,88,75,2.24
489,Kloulklubed,1516391640,PW,7.04,134.26,77.0,94,75,11.05
